Code,Description1,Description2,OnHand,Value
1420401145,ULTRAMAT 23 230V 50HZ 60VA,P/N:7MB2338-0AK10-3NW1 M&C,1,"115,392"
1300114508,FLOW CONTROL VALVE.PN.EDELLE2P,FOR CALCINER GAS VALVE TRAIN,1,"107,044"
1420401187,"RECEIVER CHAMBER 1 SOX,C79451-A3468-B523",F/ULTRAMAT 23-GAS ANALYZER,6,"100,556"
1400103005,"MOTOR 22KW,440V,100/1000RPM","TYPE:GNR200S 42F,IM1001,IP54",1,"99,974"
1300114509,FLOW CONTROL VALVE PN.EDELLE2P,GAS VALVE TRAIN OF AUX. BURNER,1,"88,399"
1400115107,MOTOR 3.7KW 380V 1400/9.3RPM,TYPE:9/2RN-100L/4D,1,"85,847"
1400101363,MOTOR 132KW 1487RPM 400VAC,"TYPE:M3BP315SMB4B3     ,ABB",1,"77,325"
1400115052,MOTOR 5.5KW 380V 1450RPM 11.5A,"TYPE:MLA6133H,FRAM132S",1,"64,839"
1420401171,"OPTICAL FILTER - SOX,P/N:C75285-Z1302-A4",F/ULTRAMAT 23-GAS ANALYZER,6,"53,020"
1300308005,COMPRESSOR MODEL 06ET299620,LRA345,1,"49,593"
1410112035,COMPUTING UNIT,TYPE:SPLRSPLR-100xB/NPR/AZER,1,"39,005"
1400101339,MOTOR 90KW 380V 1500RPM 3PH,TYPE:M3BP280SMB4 ABB,1,"37,000"
1400618089,GASKET F/SUPPORTING INSULATOR,"3280-7,ITEM:70,MAT:190.000.419",6,"36,579"
1420300157,FLOW METER ELECTROMAGNETIC DN65 PN40,TYPE:LECHLER P/N:9ET.018.65.40.00.0,1,"30,481"
1420300156,FLOW METER ELECTROMAGNETIC DN80 PN40,TYPE:LECHLER P/N:9ET.018.80.40.02.0,1,"30,019"
1420100043,FLAME DETECTOR SENSOR,"DUARG,TYPE D-LE603UA-P",2,"27,982"
1400305012,WELIDNG CABLE 1X70MM2,FLEXIABLE,500,"27,500"
1300308012,COMPRESSOR MOD NO.06EA 575600,MF/ NO6EACCD1B2D41,1,"25,882"
1420401174,"GAS FILTER 1-SOX,P/N:C79451-A3458-B508",F/ULTRAMAT 23-GAS ANALYZER,6,"24,424"
1300127510,SHUTOFF VALVE.W/SOLENOID VALVE,P/NO.APORIA-F/GAS VALVE TRAIN,1,"23,259"
1300308004,COMPRESSOR MOD NO.06ET265620,LRA223 400V 50HZ F/CENTRAL AIR,1,"22,353"
1410501457,"DIOE EXPANSION MODULE MK4,P/N:1900071071",F/L2 COAL MILL COMPRESSOR 610CM05,1,"19,000"
1600313004,EXTENDER OF OPERATOR SCREENS,ROSE ELECTRONIC TYPE:CRV-MRU2V,2,"18,476"
1300114504,THERMOSTATICALLY VALVE,LUBRICATION UNIT FREE SIDE,1,"17,751"
1400503551,FLAME RELAY (IONY) P/NO.EEQ10,FOR CALCINER IGNITOR,1,"16,872"
1400503744,FLAME RELAY (IONY),FOR KILN IGNITOR.P/NO.AEQ10,1,"16,872"
1400503234,SWITCH LEVEL DETECTER,TYPE:PE13 BTESGDG,1,"15,942"
1300123501,FLOWMETER.NO 46,REGULATION BOX FOR 1ST CHAMBER,1,"15,879"
1300123502,FLOWMETER.NO53,REGULATION BOX FOR 2ND CHAMBER,1,"15,879"
1420200158,MULTI CAP LEVEL PROBE ROD DC16,"L1=250MM,L2=100MM 1135VA E+H",1,"15,782"
1600313005,EXTENDER OF OPERATOR SCREENS,ROSE ELECTRONICTYPE:CRV-MDLU2V,2,"14,400"
1420500514,PRESSURE TRANSMITTER,P/NO.EJA-F/GAS VALVE TRAIN,1,"14,076"
1410501421,"SENSOR PRESSURE,P/N:1089962513",F/L1 COAL MILL COMPRESSOR 610 CM01/03,2,"9,405"
1300302228,PRESS TRANSDUCER 1089-0575-54,F/GA55 COMPRESSOR,3,"9,000"
1420300505,TEMPERATURE TRANSMITTER,FOR CALCINER GAS VALVE TRAIN,1,"8,538"
1400503763,POWER FACTOR CONTROLLER,7 STEPS,1,"8,498"
1400503755,LOW PRESSURE SWITCH,P/NO.FB-FOR GAS VALVE TRAIN,1,"7,504"
1400503569,LOW PRESSURE SWITCH.P/NO.FB,GAS VALVE TRAIN OF AUX. BURNER,1,"7,504"
1400503756,LOW PRESSURE SWITCH.P/NO.FB,FOR CALCINER GAS VALVE TRAIN,1,"7,504"
1410113045,"MICRO MASTER DRIVE,S/N:XAV720-003073","TYPE:6SE6420-2UD21-5AA1,F/CLAY WEIGH FEEDERS A/B",1,"7,387"
1400605441,"CONTACT BLOCK 1NO+1NC,P/N:1089941509",F/COMPRESSORS GA 250W AIF 120919 & APF 142231,2,"6,600"
1410501073,"SENSOR F/CO2,TYPE:CO2-5-IR2",S.N: A13-872583-001,1,"6,250"
1410501454,"SENSOR PRESS,P/N:1089962513",F/L2 COAL MILL COMPRESSOR 610CM05,1,"4,085"
1410501455,"SENSOR PRESS,P/N:1089962518",F/L2 COAL MILL COMPRESSOR 610CM05,1,"4,085"
1420401180,"ANALYZER CHAMBER 1-SOX,C79451-A3468-B234",F/ULTRAMAT 23-GAS ANALYZER,1,"3,360"
1400715007,TEST BLOCK MMLG01,GEC ALSTOM TEST,1,"3,001"
1400715008,TEST BLOCK MMLG01,GEC ALSTOM TEST,1,"3,001"
1420302503,"PRESS. GAUGE,0:10 BAR,D=1/2""","F/GAS VALVE TRAIN,PO/N.MEX5",2,"2,767"
1420302504,"PRESS. GAUGE,0:2.5 BAR,D=1/2""","F/ GAS VALVE TRAIN,PO/N.MEX5",2,"2,767"
1410501435,"SENSOR,P/N:1089057470",F/L2 COAL MILL COMPRESSOR 620 CM01/03,2,"2,299"
1410217019,RECORDER PEN GREEN,GTY2-434-316/R02,10,"2,198"
1400101083,"MOTOR 55KW,380V,2945RPM,104A",AC MOTOR TYPE:VEUL250M2,2,"1,415"
1420302505,"PRESS. GAUGE,0:16 BAR,D=1/2""",GAS VALVE TRAIN OF AUX. BURNER,1,"1,384"
1410217022,RECORDER PEN RED,GTY2-434-316/R01,5,"1,099"
1500208002,PISTON RING OPEN 06EA500321,65x70x1.5T,47,983
1400603004,TOGGLE OVER SWITCH,"1 COIL CONTACT TYPE:C,K U11",2,969
1410217017,RECORDER PEN BLUE,GTY2 434- 316/R03,4,960
1400602504,TRIP/NETURAL/CLOSE,SELECTOR SWITCH ON6PZBS 16654,1,653
1400101131,MOTOR 1/6HP 220-240V 850RPM,"TYPE:5KCP39GER795S,1.4A,1PH",2,480
1420303502,"PRESSURE GAUGE, 0-11 BAR",WATER SPRAY SYSTEM 334-AW02,1,437
1400101132,"MOTOR 0.5HP,220VAC,1275/3RPM",TYPE:F42B44B38,2,410
1400609090,"FUSE BOTTLE 20A,300V",TYPE:FCF2-20,6,380
1400618022,CAB FOR 3NP53 3NY,TYPE:FOR NP53 3NY 12013 2401A,1,370
1400715002,FOIL RED192x96,FOR PANEL 2401A,1,370
1400618059,PLATE PANELS,TYPE:ZB2-BY9101,1,336
1400620002,"WARNING UNIT , WARNING LIGHT","60W,IP65",10,293
1410207094,TEMPERATURE SENSOR,TYPE:6SL3978-6LX00-0AA0,1,234
1400101130,MOTOR 0.25HP 220V 1350RPM 1.6A,"TYPE:5KCP29GK 4847DS,1PH",1,200
1400618021,FIXING PART FOR BND,TYPE:FOR BND2150 2401A CABIN,2,185
1400609092,FUSE BOTTLE  16A,"FUSE 8.7x37MM,380V",2,126
1420500150,RECIVER NO:025-0156-1-1,SPLIT CARRIER,1,111
1400703005,F.L 3x40W 230V,W/SOCKET TYPE:MOUSTAFA ALY,1,99
1400703001,"F.L 20W,230V",W/SOCKET 2P,1,82
1400503286,"PUSH BUTTON 690V,ITH 10A","TYPE:800E-3X01,NC CONTACT",5,65
1400505006,SEMI-CONDUCTING TABE,TYPE:13  3M,3,15
1400618047,INSULATOR F/11KV BY PASS,FOR WIRE (ON TOWER),9,0
1400620001,"START WARRING LIGHT,V24",TYPE:COMAX SIGNAL-AG,8,0
1400505031,(REEL)INSULATION PAPER TAPE,TYPE:W80,0, -   
1400503729,2 POLES SWITCH 100A,F/ UPS,0, -   
1400503730,2 POLES SWITCH 100A,F/ UPS,0, -   
1400609531,3 POLES FUSE HOLDER 14X51,F/ UPS,0, -   
1400503138,AUX. CONTACT,"TYPE:3SB1300-OE,6A,230V",0, -   
1400503139,AUX. CONTACT,TYPE:3TH8004-0A 220V 4NC,0, -   
1400503136,AUX. CONTACT 2NO+2NC,TYPE:D1L422  220V,0, -   
1400503097,AUX. RELAY,"TYPE:LY2 ,110VAC",0, -   
1400503111,AUX. RELAY,TYPE:LY4N 220VAC W/RED LED,0, -   
1400503126,AUX. RELAY,TYPE:MK3P5-S 24V,0, -   
1400503127,AUX. RELAY,TYPE:MY2N-D 24V W/GREEN,0, -   
1400503156,AUX. RELAY,TYPE:MK3P5-S 220VA.C,0, -   
1400503169,AUX. RELAY,"TYPE::MY3N,220V",0, -   
1400503180,AUX. RELAY,"TYPE:MY2N-TU,48V",0, -   
1400503709,AUXILIARY SWITCH,3RH1911-1BA01 (1O BAUGR.S00),0, -   
1400716016,BASE W/COVER CLEAR BAGS,TYPE:3SB1204-6BG06,0, -   
1400716017,BASE W/COVER CLEAR BAGS,TYPE:3SB1204-6BH06,0, -   
1400615016,BEAKE RELAY,TYPE:DEMAG SGDM-1SONDERX 24VAC,0, -   
1400113505,BRUSHES FOR SLIPRING CONTACTS,436MB10.MT10,0, -   
1400113509,BRUSHES FOR SLIPRING CONTACTS,236MV15.MT10,0, -   
1400716035,"BULB LAMP 30V,2W","TYPE:BAGS LT28,DB10",0, -   
1400716045,"BULB LAMP 30V,2W","TYPE:E12,LT32 DB12",0, -   
1400612092,C.B LOW V MCB 1P 10A 254/440V,TYPE:S281-K10,0, -   
1400612103,C.B LOW V MCB 1P 1A277/480VAC,TYPE:S281UC-K1 230/400V,0, -   
1400612106,C.B LOW V MCB 1P 20A 254/440V,TYPE:S281 K20 230/400,0, -   
1400612107,C.B LOW V MCB 1P 20A 254/440V,TYPE:S281 K20 230/400,0, -   
1400304003,CABLE,IDM 4*16MM2/1000V,0, -   
1410209016,CABLE FLAT BAND,I/P W/2SOCKETS XV9767A,0, -   
1400505018,CABLE HOLDER,TYPE:DG-1,0, -   
1400505019,CABLE HOLDER,TYPE:DG-2,0, -   
1400505020,CABLE HOLDER,TYPE:PG16,0, -   
1400505021,CABLE HOLDER,TYPE:PG42,0, -   
1400502106,CABLE TERMINAL,"TYPE:GEJST 14-8 ,EE1215730",0, -   
1400305037,"CABLE,ELECTRIC SIZE: 4X4MM","CU,XLPE,PVC,1KV,ARMOURED",0, -   
1410209019,CABLES SYSTEM W/PLUG XVC,115AR3(XV9786R5) TO ED1310C,0, -   
1400315010,CLIPS  PLASTIC,SIZE:=10MM,0, -   
1400505023,CLIPS FOR CABLE,TYPE:DPY-1,0, -   
1400505025,CLIPS FOR CABLE,TYPE:PC51,0, -   
1400505026,CLIPS FOR CABLE,34-40MM,0, -   
1420300027,COMPOUND PRESSURE GAUGE,"1CM HG-1KG/CM2,TYPE:AV1560",0, -   
1420401506,CONDENSATE TRAP,CONDITIONNING PART OF ACX,0, -   
1420401509,CONDENSATE TRAP,CONDITIONNING PART OF ACX,0, -   
1400113185,CONICAL BRAKE LINING F/MAIN,HOIST 089 786 84,0, -   
1400503205,CONTACT BLOCK  1NO+1NC,TYPE:S210-HS,0, -   
1400605120,CONTACTOR 3P 30KW VC=220VAC,"TYPE:A63-30-00,115A,400V",0, -   
1400605164,CONTACTOR 3P 30KW VC=220VAC,"TYPE:LCI D65,ITH 80A,380V",0, -   
1400605084,CONTACTOR 3P 7.5KW VC=220V,"TYPE:C20A,440V,ITH 30A",0, -   
1400605081,CONTACTOR 3P 7.5KW VC=220V,"TYPE:C20W-S,440V,ITH=30A",0, -   
1400605083,CONTACTOR 3P 7.5KW VC=220V,"TYPE:HI-20EGM,250V,ITH=35A",0, -   
1400605092,CONTACTOR 3P 7.5KW VC=220V,"TYPE:C20J,1 NO,ITH 5A,380V",0, -   
1400605079,CONTACTOR 3P 7.5KW VC=42V,"TYPE:3TF4222-0A,400V",0, -   
1400605134,CONTACTOR 3P 90KW VC=220V,"TYPE:B170,ITH =250,380V",0, -   
1400605086,CONTACTOR 7.5KW VC=220V,"TYPE:C20J,ITH=5A,380V",0, -   
1400605141,CONTACTOR 7.5KW VC=220V,"TYPE:C20J,380V,1NO",0, -   
1400605139,CONTACTOR 7.5KW VC=220V,"TYPE:C20J,380V,1NO",0, -   
1330311886,CONVERTER  (O&K),P/N:(1716393 )F/SHOVEL,0, -   
1330311887,CONVERTER  (O&K),P/N:(1716394 )F/SHOVEL,0, -   
1400401072,COVER PLASTIC,FOR SILO PILOT,0, -   
1400716054,COVER YELLOW,TYPE: D29xH31,0, -   
1400716136,COVER YELLOW,TYPE:3SB1118-6BD20,0, -   
1410101003,EPROM CHIP ELECTRONIC,TYPE: M27256F1 ST9505 28PIN,0, -   
1410101005,EPROM CHIP ELECTRONIC,"TYPE:PGM-12.5V,B9412AK",0, -   
1410101006,EPROM CHIP ELECTRONIC,TYPE:ST9509 M2716-1F1-G88AB,0, -   
1400609522,"FUSE 0,05 A",SAMPLE COOLER SCC-C,0, -   
1400609523,FUSE 2A,GAS FEED UNIT SCC-F,0, -   
1400609524,FUSE 50 MA,GAS FEED UNIT SCC-F,0, -   
1400609517,FUSE 50 MA,GAS FEED UNIT SCC-F,0, -   
1400609536,FUSE FOR TELYS 10A (F5),SBG2/10,0, -   
1400609539,FUSE FOR TELYS 10A (F5),SBG2/13,0, -   
1400609520,"FUSE T 1,6 A",SAMPLE COOLER SCC-C,0, -   
1400609519,FUSE T 100 MA,SAMPLE COOLER SCC-C,0, -   
1400609521,"FUSE T3,15 A",SAMPLE COOLER SCC-C,0, -   
1400609133,GLASS FUSE 5x20 MM,3.15A 250V,0, -   
1400609141,GLASS FUSE 5x20 MM,2A.250V,0, -   
1400103004,"MOTOR 22KW,440V,100/1000RPM,strategic","TYPE:GEKR-OU,FROM 250DC,53.7A",1, -   
1300308007,"COMPRESSOR MODEL , LRA115",NO:06DX5376BCO0600,0, -   
1330311544,RELAY O&K 1257750,SHOVEL,0, -   
1330311889,CONVERTER (O&K),P/N:(1716394)F/SHOVEL,0, -   
1330311891,DISCONNECTION KNIFE O&K,924205 SHOVEL  (660V-160A),0, -   
1330311892,CURRENT TRANSFORMER O&K,1716393 SHOVEL,0, -   
1330311898,RELAY O&K 727361,SHOVEL,0, -   
1330311899,RELAY O&K 1537057,SHOVEL,0, -   
1330311900,RELAY O&K  773137,SHOVEL,0, -   
1330311917,CONTACTOR RELAY O&K,1558029 SHOVEL,0, -   
1330311918,RELAY O&K  1758252,SHOVEL,0, -   
1330311920,SWITCH O&K 1148545,SHOVEL,0, -   
1330311921,SWITCH O&K  1725769,SHOVEL,0, -   
1330311922,PT 100 O&K  1768951,SHOVEL,0, -   
1330311928,TRANSFORMER  O&K,2159613 SHOVEL,0, -   
1330311930,TIMER O&K,945583 SHOVEL,0, -   
1330311933,EARTH FAULT RELAY O&K,1909911 SHOVEL,0, -   
1410204009,CPU 103 6ES5103-8MA03,S5-100U,0, -   
1410204012,CPU 941B 6ES5 941-7UB11,115U CPU SIMATIC S5,0, -   
1410204013,CPU 942B 6ES5-942-7UB11,115U CPU SIMATIC S5,0, -   
1410205008,EEPROM 6ES5375-OLC41,16KBx8BIT,0, -   
1410205012,MEMORYSUB MODULE 6ES5375-0LD11,8Kx8BIT,0, -   
1410206023,INTERFACE MODULE IM305,TYPE:6ES5305-7LA11,0, -   
1410206027,MODULE IP245 6ES5245-1AA12,SIMATIC 55,0, -   
1410207022,DIGITAL I/O 63S5-482-7LA11,32x24VDC,0, -   
1410207023,DIGITAL I/P 6ES 5431-8MA11,8x24VDC,0, -   
1410207024,DIGITAL I/P 6ES5 420-7LA11,32x24VDC,0, -   
1410207025,DIGITAL I/P 6ES5 431-8MD11,8x230VAC,0, -   
1410207026,DIGITAL I/P 6ES5 421-8MA12,8x24VDC,0, -   
1410207027,DIGITAL I/P 6ES5 430-7LA12,32x24VDC,0, -   
1410207030,DIGITAL I/P:6ES5- 430 - 7LA12,32x24VDC,0, -   
1410207031,DIGITAL O/P 6ES5 441- 7LA11,"32x24VDC,0.5A",0, -   
1410207032,DIGITAL O/P 6ES5 451-7LA12,6ES5451-7LA12,0, -   
1410207033,DIGITAL O/P 6ES5 456-7LA11,"16x115/230VA-C, 1A",0, -   
1410207034,DIGITAL O/P 6ES5458-7LB11 VER2,8x230V/30VDC,0, -   
1410208012,ANALOG O/P 6ES5470-7LA12,"SIMATIC S5-115U,0/20MA",0, -   
1410208013,ANALOG O/P 6ES5 470-7LA12,"8CHANNELS,+10V,0:20MA,VERY",0, -   
1410210028,UNITHERM PANEL SCREEN SIMATIC C7-635 KEY,SIEMENS P/N:6ES7 635-2EC02-0AE3,0, -   
1410501029,CHEMICAL CELL O2,"P/N:R000336,ROBOCCO,F/GAS ANALYZER OF COAL MILL",0, -   
1420300160,"MULTIFUNCTION COUNTER,TYPE:EL0122-752111","F/HEAVY OIL,220/230 VAC, 50/60HZ",0, -   
1420500043,CPM 5000 RECIVER BOARD,PROCEESSER F/ DUST EMISSIER,0, -   
1420500058,LEVEL JAMMA-PILOT PC FTG 470Z,E+H PLUG,0, -   
1420500205,CPM 5003 RECEIVER BOARD,"BHA,P/N:0851 5000-026",0, -   
1420500524,ENCODER DOSATEC SAA112.0015.00,,0, -   
1500208001,ROD CONNECTING 06EA 660026,,0, -   
1330311894,SWITCH O&K 1589516,SHOVEL,0, -   
1330311909,BRUSH HOLDER O&K1406862,SHOVEL,0, -   
1330311910,BRUSH HOLDER O&K 1406861,SHOVEL,0, -   
1330311911,BRUSH HOLDER (BRACKET)O&K,1406863 SHOVEL,0, -   
1330311912,COPPER BRUSHES O&K 650366,SHOVEL,0, -   
1330311913,COPPER BRUSHES O&K 650363,SHOVEL,0, -   
1400101049,"MOTOR 20W,400VAC,2750/3200RPM","TYPE:RFD02001-980,0.0610.05A",0, -   
1400103007,"MOTOR 270KW,450V,300/660RPM","TYPE:DM400M 33R,IM1001,635A",0, -   
1400115302,"GEARED MOTOR 1.1 KW, 2840/37 RPM",TYPE:R77DRS 80M2BE1HR/Z SEW,0, -   
1400305050,POWER CABLE,PVC 4x60MM,0, -   
1400502090,TERMINAL BLOCK 46 POLE SCREW,SOCKET FOR SIMATIC S5,0, -   
1400618090,LEAD IN INSULATOR 1502-1,"ITEM:90,MAT:190.000.385",0, -   
1400703002,"F.L 58W,220V,150CM",,0, -   
1400713002,ULTRA VIOLET D2 LAMP,HAMAMATSU DEFERIUM LAMP,0, -   
1410109011,"POTEN. WIRE RES 360?,48V","W/BASE AND LAMP TEST, COVER",0, -   
1410206016,ADAPTER CASING 6ES5491-OLB11,PLC SIMATIC S5-115U/F,0, -   
1410209009,BUS UNIT 6ES5 700-8MA11 VER4,F/S5-100U/ET,0, -   
1410218002,DRUM INK UNIT,F/LASER PRINTER,0, -   
1420400004,CARD EXT N HVPS/P4881,9346.349-05,0, -   
1400103002,"MOTOR 110KW,450V,500/1000RPM","TY:DMA280M404,263A,IM2011,IP54",0, -   
1400605091,CONTACTOR MAGNTIC REVERSING,"TYPE:C20A,7.5KW/440V,VC=200V",0, -   
1400605113,CONTACTOR 3P 90KW VC=220AC,"TYPE:3TB5217-0A,380V",0, -   
1400605116,CONTACTOR 3P 132KW VC=220AC,"TYPE:3TF5444-0A,TIH 300A,400V",0, -   
1400605117,CONTACTOR 3P 132KW VC=220V,"TYPE:3TB5417-0A,380V",0, -   
1400605151,CONTACTOR 3P 120KW VC=220V,"TYPE:C-250-S,ITH =300A,440V",0, -   
1400605154,CONTACTOR 3P 200KW VC=220V,"TYPE:C-400-S,ITH =420A,440V",0, -   
1400609155,KINFE FUSE 250A 500V,"TYPE:PK1,LT135",0, -   
1400611003,H.V FUSE 12KV/100A,"TYPE:CL,LT550,D60 F/900KVA",0, -   
1400609532,4 POLES FUSE HOLDER 14X51 3P+N,F/ UPS,0, -   
1400612134,MC.B 2P10A,TYPE:2-C45N 220/380V,0, -   
1400614042,RELAY OVERLOAD 0.63~1A,"TYPE:T25DU,IEC947-4-1/U",0, -   
1400618014,"CONE INSULATION,48353,INFO",116KV 029,0, -   
1400712023,HEATER PIPE,TYPE:SGR19-203-381-5.5,0, -   
1400101039,"MOTOR 18.5KW,1460RPM,380VD",MODEL:S9160M4,0, -   
1400101058,"MOTOR 2HP,220D/380V,1410RPM",TYPE:27/96/4,0, -   
1400101061,"MOTOR 3.7KW,380V,2910RPM","TYPE:IKK,3PH",0, -   
1400101067,"MOTOR 3HP,220D/380V,1410RPM","TYPE:27/106/4,9/4A",0, -   
1400101068,"MOTOR 230V,0.5HP,875RPM",TYPE:5KCP39SG,0, -   
1400101069,"MOTOR 4.6KW,380V,3000RMP",TYPE:RBH112B4,0, -   
1400101073,"MOTOR 5.5HP,1435RPM,220/380V","TYPE:Y2-112M-4,INDUCTION MOTOR",0, -   
1400101074,"MOTOR 5.5HP,220/380V,2880RPM","TYPE:QU112M2AT ,AC MOTOR",0, -   
1400101078,"MOTOR 5.5KW,380V,2900RPM","TYPE:IKK,FRAME 132M",0, -   
1400101080,"MOTOR 5.5KW,380V,1440RPM,12.5A","TYPE:KPER 132S4,IP54",0, -   
1400101085,"MOTOR 65KW,380V.2900RPM","TYPE:TIKK CLASS F,PF89.5,IP44,",0, -   
1400101095,"MOTOR 75KW,380V,2745RPM,0.28A",TYPE:KEE-1-2BK,0, -   
1400101102,"MOTOR 11KW,380V,2905RPM","TYPE:QU160M2AG, 22A,IP54",0, -   
1400101105,"MOTOR 4HP,1140RPM,380V",MODEL NO:HD52AK652,0, -   
1400101119,MOTOR 0.5HP 230V 4.5A,TYPE:5KCP39SGL513S,0, -   
1400101124,"MOTOR 1.1KW,380-410V 2835RPM","TY:QU80M2BT, 4.2/2.4A,3PH,IP55",0, -   
1400101129,"MOTOR 1.5KW 380V,1410RPM","TYPE:SF-JR,FRAM90L,3.2A,JPW44",0, -   
1400101191,MOTOR 30KW 500V 108A 50HZ,TYPE:M2BA280 SMA4B4 ABB,0, -   
1400101318,"MOTOR 5.5KW,380V,1440RPM,11.5A","TYPE IKK ,4P,FORM FPT,TEMP 40",0, -   
1400101328,"MOTOR 2.2KW,2760RPM,200-240V","SIEMENS,TYPE:G200 2BH16107HH16",0, -   
1400101376,MOTOR 18.5KW 1460RPM 400VAC,TYPE:MA18M435 W/GEARBOX,0, -   
1400103001,"MOTOR1000KW,750V,1000RPM,1390A",TYPE:DMB63OH 400AV,0, -   
1400103006,"MOTOR 260KW,440V,150/1450RPM","TY:DMA315L324,IM1001,IP54,625A",0, -   
1400103009,"MOTOR 30KW,420V,200/1200RPM","TYPE:GNR200LM39F,IP54,78A",0, -   
1400103010,"MOTOR 35KW,440V,150/1500RPM","TYPE:GNR200S39F,IP54,86.5A",0, -   
1400103011,"MOTOR 37KW,430V,200/1200RPM","TY:GNR200L38F,IMI001,28.8A",0, -   
1400113020,FAN IMPELLER FOR MOTOR 4 KW,"PLASTIC TYPE : M2BA 112,ABB",0, -   
1400113028,MOTOR BRUSH RE54 40x10x16,W/FLEX.,0, -   
1400113059,BRUSH HOLDER W/2BRUSHES M192,"REKOFA B.M 20x10x31.6,M192",0, -   
1400113062,BRUSH M70 20X8X25 F/S.R,BRUSH F/SLIPRING MOTOR,0, -   
1400113065,BRUSH MG3R 42.8X39.7X24.7,W/FLEX. K9X475017 P001,0, -   
1400113078,BRUSH W/FLEX,RE92 ELECTRO GRAPH 40x16x32,0, -   
1400113083,TWIN BRUSH RE98 25x12.5x5 EACH,W/FLEX.,0, -   
1400113118,FRONT FACE FOR MOTOR 18.5KW,"3000RPM,OD=249MM,ID=235MM",0, -   
1400113121,GRIDE RESSISTER DK3 / 369-12,"485V,153A,1.2OHM",0, -   
1400113126,FAN IMPELLER FOR MOTOR 5.5KW,"F/IMPELLER Y132,MAIDCO 2900RPM",0, -   
1400113139,MOTOR SIDE 280MM IDA,CAST IRON,0, -   
1400113148,REAR FACE FOR MOTOR 7.5KW,"F/MOTOR 7.5KW,1500RPM",0, -   
1400113173,TACHO +S.S  VELMAX3 1800RPM,TY:RE.0444 R1B0.06CA IMAX0.18A,0, -   
1400712016,"HEATER ROD 1150W,380V","TYPE:4WIRE, CA D12xL700",0, -   
1400113237,ELECTROMAGNETIC BRAKE,"SERIES:46204900-1690 , 24VDC",0, -   
1400113266,CURRENT COLLECTOR,"TYPE:H512.1 , F/II-1007A",0, -   
1400113276,FACE F/DRIVE-END SIDE MOTOR,TOSHIBA F/CRUSHER MOTOR,0, -   
1400113299,ISOLATING SPACER F/RING D270,P/N:2I30002 CONDUCTIX WAMPFLER,0, -   
1400113308,BRUSH HOLDER RADIUS 50 BORE 16,REKOFA TYPE:3210SKL16,0, -   
1400115032,MOTOR 15KW 380V 1455RPM 29A,"TYPE:TIKK,FCKLW8,IP44,PF0.865",0, -   
1400115034,MOTOR 2.2KW 380V 1420RPM 5.2A,TYPE:IK FORM FCKL21,0, -   
1400115057,"MOTOR 11KW 380V 100RPM,22A",TYPE:TFOAG FORMKK,0, -   
1400115058,"MOTOR 3.7KW 380V 100RPM,7.8A","TYPE:TFOAG,FORM K,IPW44,4P",0, -   
1400115068,MOTOR 0.25KW 240/420V 1350RPM,"TYPE:19-71K/4D,PF0.73",0, -   
1400115086,MOTOR 1.1KW 380V 2840/112RPM,TYPE:G22-10/DK42-241K-G,0, -   
1400115111,MOTOR MA 440NM 380V 1.8/500RPM,TYPE:G23-11/DWK912-241,0, -   
1400115112,MOTOR 5.5KW 400V 1450RPM,"TYPE:AF132S/4A-11,11.5/20A",0, -   
1400115121,MOTOR GEAR TACHO R8:1,"TRANSFER DRIVE ESCAP P42,14052",0, -   
1410104032,HIGH PRESSURE FREON MANOMETER,"POS IN DRAWING:MHP,T/CODE:23865231",0, -   
1410104033,HIGH PRESSURE FREON MANOMETER,"POS IN DRAWING: MHP, TYPE CODE:23952574",0, -   
1400115299,GEARED MOTOR,TYPE KAD 108 K2 M100L4,0, -   
1400301001,ELECTRO CABLE WITH TERMINAL,"(8-25),NO:571056,Q=9",0, -   
1400305014,THREMO PLASTIC CABLE 4X4MM,,0, -   
1400305015,THREMO PLASTIC CABLE 4X2MM,"TYPE:EL-AD2L,L=100M",0, -   
1400305029,PLASTIC CABLE PVC 4X2MM,,0, -   
1400305094,PLASTIC CABLE PVC 10Cx1.5MM,,0, -   
1400305139,CABLE INSULATION PVC 2X0.5MM,,0, -   
1400305140,CABLE INSULATION PVC 4X35+16MM,,0, -   
1400305141,CABLE INSULATION PVC 10X1MM,,0, -   
1400305142,CABLE INSULATION PVC 20X1MM,,0, -   
1400313017,CABLE SHIELD 3X35+3X25/3.6/6KV,PROTOLON NTSCGEWOEU,0, -   
1400315003,METAT BASE F/FIXING CABLE TREE,130x50MM,0, -   
1400315005,CABLE CLAMPS 4MM L=25CM,,0, -   
1400315006,CABLE CLAMPS W 5MM L=30CM,,0, -   
1400315007,CABLE CLAMPS W =3MM L=20CM,"200x4.5MM,Q=100,QMAX=51MM",0, -   
1400315012,"CABLE TREE W30CM ,H10CM,T1.5MM",,0, -   
1400401058,AIR DRYER F/TT W/FLANGE,ID42567 F/RECT TRANS,0, -   
1400401108,TRANS.VOLTAGE 400/30~99,TYPE:S6157/901 250VA 50HZ,0, -   
1400404003,PC BOARD FMC C904 W/PROGR,FD BOOLL F/FC0421 MATERIAL,0, -   
1400406001,F/I CONVERTER SU1312-759000,"IP:PG30S,OP:4-20MAA2,85-264VA",0, -   
1400408020,COIL SOL.VALVE 99-216-2D 220VA,"NO.MX 8262C2P,0.125 INSH",0, -   
